Attrition;JobRole;OverTime;YearsInCurrentRole;YearsWithCurrManager;Age;YearsAtCompany;StockOptionLevel;JobInvolvement;BusinessTravel;JobSatisfaction;EnvironmentSatisfaction;DistanceFromHome;WorkLifeBalance;TrainingTimesLastYear;DailyRate;MonthlyIncome;AgeGroup;IncomeGroup;CurrentRoleYearsGroup;Attrition_bin;Attrition_Prob_ML;PC1;PC2;Cluster_K3;RiskTier;Attrition_Prob_Tree;Tree_Segment
No;Research Scientist;No;0;0;32;1;0;3;Travel_Rarely;1;Satisfied;1;3;2;827;2956;26-35;2001-4000;0-4;0;0.1508343249749678;-3546.9223555665067;26.877637802690288;0;Low;0.6285714285714286;5
Yes;Laboratory Technician;Yes;0;0;20;1;0;2;Travel_Frequently;4;Satisfied;6;3;5;871;2926;19-25;2001-4000;0-4;1;0.8811349434870287;-3576.9047900852615;70.89542094219189;0;High;0.875;3
No;Research Scientist;No;13;10;34;16;0;3;Travel_Rarely;3;Dissatisfied;6;3;3;665;4809;26-35;4001-6000;13-16;0;0.059145621185313905;-1694.0138553831684;-136.36523644812894;0;Low;0.06491499227202473;24
No;Healthcare Representative;No;0;0;37;1;1;2;Non-Travel;4;Moderately satisfied;2;4;2;1040;5163;36-45;4001-6000;0-4;0;0.0792108986107424;-1339.7779008352309;238.41040559262535;0;Low;0.0;10
No;Manager;No;2;2;59;3;1;2;Non-Travel;4;Moderately satisfied;2;3;3;1420;18844;56-65;10000+;0-4;0;0.01442302745256389;12341.485150584538;609.3120977786294;1;Low;0.06491499227202473;24
No;Research Director;Yes;3;7;50;8;0;3;Travel_Frequently;2;Dissatisfied;1;2;1;1115;18172;46-55;10000+;0-4;0;0.09366682809253522;11669.27915160258;304.7537260043372;1;Low;0.28865979381443296;16
Yes;Sales Executive;Yes;4;3;25;6;0;2;Travel_Rarely;3;Moderately satisfied;5;3;1;240;5744;19-25;4001-6000;0-4;1;0.5508307697210388;-759.3172754867201;-561.9813665882994;0;High;0.28865979381443296;16
No;Research Scientist;No;2;1;25;2;2;2;Travel_Rarely;4;Satisfied;7;3;2;1280;2889;19-25;2001-4000;0-4;0;0.0376531374249573;-3613.6262752832595;479.91996020654403;0;Low;0.06491499227202473;24
No;Laboratory Technician;No;0;0;22;0;0;3;Travel_Rarely;4;Moderately satisfied;15;3;5;534;2871;19-25;2001-4000;0-4;0;0.4333561259825343;-3632.127989577804;-266.06778814867255;0;Medium;0.6285714285714286;5
No;Healthcare Representative;No;12;8;51;13;0;2;Travel_Frequently;1;Dissatisfied;1;2;1;1456;7484;46-55;6001-8000;9-12;0;0.07158890768208599;981.5237365047651;652.8601904576072;2;Low;0.06491499227202473;24
Yes;Laboratory Technician;Yes;7;6;34;9;0;1;Travel_Frequently;3;Dissatisfied;7;3;3;658;6074;26-35;6001-8000;5-8;1;0.6759146555319556;-429.0271763064229;-144.20224021013473;2;High;0.28865979381443296;16
No;Manager;Yes;3;4;54;5;0;4;Non-Travel;4;Satisfied;26;3;3;142;17328;46-55;10000+;0-4;0;0.07924556159311136;10824.632854794252;-667.6835203617732;1;Low;0.28865979381443296;16
No;Laboratory Technician;No;3;2;24;5;1;3;Travel_Rarely;3;Moderately satisfied;18;3;2;1127;2774;19-25;2001-4000;0-4;0;0.04911964431547143;-3728.726714233237;326.9932460808351;0;Low;0.06491499227202473;24
No;Research Scientist;No;0;0;34;1;1;2;Travel_Rarely;2;Moderately satisfied;6;3;3;1031;4505;26-35;4001-6000;0-4;0;0.07112407296079849;-1997.7863256665787;229.8471122958848;0;Low;0.0;10
No;Sales Executive;No;3;3;37;5;0;3;Travel_Rarely;4;Moderately satisfied;3;3;3;1189;7428;36-45;6001-8000;0-4;0;0.03228751802913674;925.3232802361099;385.90079030250206;2;Low;0.06491499227202473;24
No;Manager;No;10;8;34;11;0;2;Travel_Rarely;1;Moderately satisfied;5;3;6;1354;11631;26-35;10000+;9-12;0;0.03490555733723463;5128.433318709904;548.0997861590257;2;Low;0.06491499227202473;24
No;Sales Executive;No;7;8;36;9;1;3;Travel_Frequently;4;Moderately satisfied;11;3;6;1467;9738;36-45;8001-10000;5-8;0;0.10204313010160593;3235.509908147682;662.3600345523386;2;Low;0.06491499227202473;24
No;Laboratory Technician;No;0;0;36;1;1;3;Travel_Rarely;4;Dissatisfied;3;3;2;922;2835;36-45;2001-4000;0-4;0;0.1202842434805293;-3667.855173547728;121.95879840223176;0;Low;0.13793103448275862;9
No;Manager;Yes;12;12;43;25;2;3;Travel_Frequently;4;Moderately satisfied;26;4;3;394;16959;36-45;10000+;9-12;0;0.04164253945628754;10455.808303612028;-415.45296839637825;1;Low;0.1111111111111111;17
